ACAXU,Alset Capital Acquisition Corp. Unit,Basic Materials,Other Pharmaceuticals
ACAXW,Alset Capital Acquisition Corp. Warrant,Basic Materials,Other Pharmaceuticals
ACB,Aurora Cannabis Inc. Common Shares,Basic Materials, Medicinal Chemicals and Botanical Products 
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,Basic Materials,Business Services
ACBAU,Ace Global Business Acquisition Limited Unit,Basic Materials,Business Services
ACCD,Accolade Inc. Common Stock,Basic Materials,Business Services
ACCO,Acco Brands Corporation Common Stock,Basic Materials,Publishing
ACDC,ProFrac Holding Corp. Class A Common Stock,Basic Materials,Oilfield Services/Equipment
ACDCW,ProFrac Holding Corp. Warrant,Basic Materials,Oilfield Services/Equipment
ACEL,Accel Entertainment Inc. ,Basic Materials,Services-Misc. Amusement & Recreation
ACER,Acer Therapeutics Inc. Common Stock (DE),Basic Materials,Biotechnology: Pharmaceutical Preparations
ACET,Adicet Bio Inc. Common Stock ,Basic Materials,Biotechnology: Pharmaceutical Preparations
ACGL,Arch Capital Group Ltd. Common Stock,Basic Materials,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,Basic Materials,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Basic Materials,Property-Casualty Insurers
ACGN,Aceragen Inc. Common Stock,Basic Materials,Biotechnology: Biological Products (No Diagnostic Substances)
ACHC,Acadia Healthcare Company Inc. Common Stock,Basic Materials,Medical Specialities
ACHL,Achilles Therapeutics plc American Depositary Shares,Basic Materials,Biotechnology: Biological Products (No Diagnostic Substances)
ACHR,Archer Aviation Inc. Class A Common Stock,Basic Materials,Aerospace
ACHV,Achieve Life Sciences Inc. Common Shares,Basic Materials,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI,Albertsons Companies Inc. Class A Common Stock,Basic Materials,Food Chains
ACIU,AC Immune SA Common Stock,Basic Materials,Biotechnology: Pharmaceutical Preparations
ACIW,ACI Worldwide Inc. Common Stock,Basic Materials,EDP Services
ACLS,Axcelis Technologies Inc. Common Stock,Basic Materials,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,Basic Materials,Biotechnology: Pharmaceutical Preparations
ACM,AECOM Common Stock,Basic Materials,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,Basic Materials,Industrial Machinery/Components
ACN,Accenture plc Class A Ordinary Shares (Ireland),Basic Materials,Business Services
ACNB,ACNB Corporation Common Stock,Basic Materials,Major Banks
ACNT,Ascent Industries Co. Common Stock,Basic Materials,Steel/Iron Ore
ACON,Aclarion Inc. Common Stock,Basic Materials,Retail: Computer Software & Peripheral Equipment
ACONW,Aclarion Inc. Warrant,Basic Materials,Retail: Computer Software & Peripheral Equipment
ACOR,Acorda Therapeutics Inc. Common Stock,Basic Materials,Biotechnology: Biological Products (No Diagnostic Substances)
ACP,abrdn Income Credit Strategies Fund Common Shares,Basic Materials,Investment Managers
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,Basic Materials,
ACR,ACRES Commercial Realty Corp. Common Stock,Basic Materials,Real Estate Investment Trusts
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,Basic Materials,
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,Basic Materials,
ACRE,Ares Commercial Real Estate Corporation Common Stock,Basic Materials,Real Estate Investment Trusts
ACRO,Acropolis Infrastructure Acquisition Corp. Class A Common Stock,Basic Materials,Blank Checks
ACRS,Aclaris Therapeutics Inc. Common Stock,Consumer Discretionary,Biotechnology: Pharmaceutical Preparations
ACRV,Acrivon Therapeutics Inc. Common Stock,Consumer Discretionary, Medicinal Chemicals and Botanical Products 
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,Consumer Discretionary,Biotechnology: Pharmaceutical Preparations
ACST,Acasti Pharma Inc. Class A Common Stock,Consumer Discretionary,Pharmaceuticals and Biotechnology
ACT,Enact Holdings Inc. Common Stock,Consumer Discretionary,Specialty Insurers
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,Consumer Discretionary,Multi-Sector Companies
ACU,Acme United Corporation. Common Stock,Consumer Discretionary,Industrial Machinery/Components
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,Consumer Discretionary,Finance/Investors Services
ACVA,ACV Auctions Inc. Class A Common Stock,Consumer Discretionary,Business Services
ACXP,Acurx Pharmaceuticals Inc. Common Stock,Consumer Discretionary,Biotechnology: Pharmaceutical Preparations
ADAG,Adagene Inc. American Depositary Shares,Consumer Discretionary,Biotechnology: Pharmaceutical Preparations
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,Consumer Discretionary,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc. Common Stock,Consumer Discretionary,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation Common Stock,Consumer Discretionary,Real Estate Investment Trusts
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,Consumer Discretionary,
ADCT,ADC Therapeutics SA Common Shares,Consumer Discretionary,Biotechnology: Pharmaceutical Preparations
ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares,Consumer Discretionary,Engineering & Construction
ADEA,Adeia Inc. Common Stock,Consumer Discretionary,Semiconductors
ADER,26 Capital Acquisition Corp. Class A Common Stock,Consumer Discretionary,Blank Checks
ADERU,26 Capital Acquisition Corp. Unit,Consumer Discretionary,Blank Checks
ADERW,26 Capital Acquisition Corp. Warrant,Consumer Discretionary,Blank Checks
ADES,Advanced Emissions Solutions Inc. Common Stock,Consumer Discretionary,Major Chemicals
ADEX,Adit EdTech Acquisition Corp. Common Stock,Consumer Discretionary,EDP Services
ADI,Analog Devices Inc. Common Stock,Consumer Discretionary,Semiconductors
ADIL,Adial Pharmaceuticals Inc Common Stock,Consumer Discretionary,Biotechnology: Pharmaceutical Preparations
ADILW,Adial Pharmaceuticals Inc Warrant,Consumer Discretionary,Biotechnology: Pharmaceutical Preparations
ADM,Archer-Daniels-Midland Company Common Stock,Consumer Discretionary,Packaged Foods
ADMA,ADMA Biologics Inc Common Stock,Consumer Discretionary,Biotechnology: Pharmaceutical Preparations
ADMP,Adamis Pharmaceuticals Corporation Common Stock,Consumer Discretionary,Biotechnology: Pharmaceutical Preparations
ADN,Advent Technologies Holdings Inc. Class A Common Stock,Consumer Discretionary,Industrial Machinery/Components
ADNT,Adient plc Ordinary Shares ,Consumer Discretionary,Auto Parts:O.E.M.
ADNWW,Advent Technologies Holdings Inc. Warrant,Consumer Discretionary,Industrial Machinery/Components
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,Consumer Discretionary,Biotechnology: Biological Products (No Diagnostic Substances)
ADOCR,Edoc Acquisition Corp. Right,Consumer Discretionary,Biotechnology: Biological Products (No Diagnostic Substances)
ADOCW,Edoc Acquisition Corp. Warrant,Consumer Discretionary,Biotechnology: Biological Products (No Diagnostic Substances)
ADP,Automatic Data Processing Inc. Common Stock,Consumer Discretionary,EDP Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,Consumer Discretionary,Biotechnology: Biological Products (No Diagnostic Substances)
ADRT,Ault Disruptive Technologies Corporation Common Stock,Consumer Discretionary,Blank Checks
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,Consumer Discretionary,Industrial Specialties
ADSEW,ADS-TEC ENERGY PLC Warrant,Consumer Discretionary,Industrial Specialties
ADSK,Autodesk Inc. Common Stock,Consumer Discretionary,Computer Software: Prepackaged Software
ADT,ADT Inc. Common Stock,Consumer Discretionary,Diversified Commercial Services
ADTH,AdTheorent Holding Company Inc. Common Stock,Consumer Discretionary,Advertising
ADTHW,AdTheorent Holding Company Inc. Warrants,Consumer Discretionary,Advertising
ADTN,ADTRAN Holdings Inc. Common Stock,Consumer Discretionary,Telecommunications Equipment
ADTX,Aditxt Inc. Common Stock,Consumer Discretionary,Biotechnology: Pharmaceutical Preparations
ADUS,Addus HomeCare Corporation Common Stock,Consumer Discretionary,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,Consumer Discretionary,Business Services
ADVM,Adverum Biotechnologies Inc. Common Stock,Consumer Discretionary,Biotechnology: Biological Products (No Diagnostic Substances)
ADX,Adams Diversified Equity Fund Inc.,Consumer Discretionary,Investment Managers
ADXN,Addex Therapeutics Ltd American Depositary Shares,Consumer Discretionary,Biotechnology: Pharmaceutical Preparations
AE,Adams Resources & Energy Inc. Common Stock,Consumer Discretionary,Oil Refining/Marketing
AEAEW,AltEnergy Acquisition Corp. Warrant,Consumer Discretionary,Blank Checks
AEE,Ameren Corporation Common Stock,Consumer Discretionary,Power Generation
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,Consumer Discretionary,Finance/Investors Services
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,Consumer Discretionary,
AEG,AEGON N.V. Common Stock,Consumer Discretionary,Life Insurance
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,Consumer Discretionary,Building Materials
AEHR,Aehr Test Systems Common Stock,Consumer Discretionary,Electrical Products
AEI,Alset Inc. Common Stock (TX),Consumer Discretionary,Building operators
AEIS,Advanced Energy Industries Inc. Common Stock,Consumer Discretionary,Industrial Machinery/Components
AEL,American Equity Investment Life Holding Company Common Stock,Consumer Discretionary,Life Insurance
AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,Consumer Discretionary,
AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,Consumer Discretionary,
AEM,Agnico Eagle Mines Limited Common Stock,Consumer Discretionary,Precious Metals
AEMD,Aethlon Medical Inc. Common Stock,Consumer Discretionary,Medical/Dental Instruments
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,Consumer Discretionary,Durable Goods
AENTW,Alliance Entertainment Holding Corporation Warrants,Consumer Discretionary,Durable Goods
AENZ,Aenza S.A.A. American Depositary Shares,Consumer Discretionary,Military/Government/Technical
AEO,American Eagle Outfitters Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AEP,American Electric Power Company Inc. Common Stock,Consumer Discretionary,Electric Utilities: Central
AEPPZ,American Electric Power Company Inc. Corporate Units,Consumer Discretionary,Electric Utilities: Central
AER,AerCap Holdings N.V. Ordinary Shares,Consumer Discretionary,Diversified Commercial Services
AES,The AES Corporation Common Stock,Consumer Discretionary,Electric Utilities: Central
AESC,The AES Corporation Corporate Units,Consumer Discretionary,Electric Utilities: Central
AESI,Atlas Energy Solutions Inc. Class A Common Stock,Consumer Discretionary,Metal Fabrications
AEVA,Aeva Technologies Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.
AEY,ADDvantage Technologies Group Inc. Common Stock,Consumer Discretionary,Office Equipment/Supplies/Services
AEYE,AudioEye Inc. Common Stock,Consumer Discretionary,Computer Software: Prepackaged Software
AEZS,Aeterna Zentaris Inc. Common Stock,Consumer Discretionary,Pharmaceuticals and Biotechnology
AFAR,Aura FAT Projects Acquisition Corp Class A Ordinary Shares,Consumer Discretionary,Blank Checks
AFARU,Aura FAT Projects Acquisition Corp Unit,Consumer Discretionary,Blank Checks
AFB,AllianceBernstein National Municipal Income Fund Inc,Consumer Discretionary,Trusts Except Educational Religious and Charitable
AFBI,Affinity Bancshares Inc. Common Stock (MD),Consumer Discretionary,Major Banks
AFCG,AFC Gamma Inc. Common Stock,Consumer Discretionary,Real Estate Investment Trusts
AFG,American Financial Group Inc. Common Stock,Consumer Discretionary,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,Consumer Discretionary,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,Consumer Discretionary,Property-Casualty Insurers
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,Consumer Discretionary,Property-Casualty Insurers
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,Consumer Discretionary,Property-Casualty Insurers
AFIB,Acutus Medical Inc. Common Stock,Consumer Discretionary,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AFL,AFLAC Incorporated Common Stock,Consumer Discretionary,Accident &Health Insurance
AFMD,Affimed N.V.,Consumer Discretionary,Biotechnology: Pharmaceutical Preparations
AFRI,Forafric Global PLC Ordinary Shares,Consumer Discretionary,Packaged Foods
AFRIW,Forafric Global PLC Warrants,Consumer Discretionary,Packaged Foods
AFRM,Affirm Holdings Inc. Class A Common Stock,Consumer Discretionary,Business Services
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,Consumer Discretionary,Investment Managers
AFTR,AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares,Consumer Discretionary,Blank Checks
AFYA,Afya Limited Class A Common Shares,Consumer Discretionary,Educational Services
AG,First Majestic Silver Corp. Ordinary Shares (Canada),Consumer Discretionary,Precious Metals
AGAC,African Gold Acquisition Corporation Class A Ordinary Shares,Consumer Discretionary,Blank Checks
AGAE,Allied Gaming & Entertainment Inc. Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation
AGBA,AGBA Group Holding Limited Ordinary Share,Consumer Discretionary,Investment Managers
AGBAW,AGBA Group Holding Limited Warrant,Consumer Discretionary,Investment Managers
AGCO,AGCO Corporation Common Stock,Consumer Discretionary,Industrial Machinery/Components
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,Consumer Discretionary,Trusts Except Educational Religious and Charitable
AGE,AgeX Therapeutics Inc. Common Stock,Consumer Discretionary,Biotechnology: Pharmaceutical Preparations
AGEN,Agenus Inc. Common Stock,Consumer Discretionary,Biotechnology: Biological Products (No Diagnostic Substances)
AGFY,Agrify Corporation Common Stock,Consumer Discretionary,Military/Government/Technical
AGI,Alamos Gold Inc. Class A Common Shares,Consumer Discretionary,Precious Metals
AGIL,AgileThought Inc. Class A Common Stock,Consumer Discretionary,Professional Services
AGILW,AgileThought Inc. Warrant,Consumer Discretionary,EDP Services
AGIO,Agios Pharmaceuticals Inc. Common Stock,Consumer Discretionary,Biotechnology: Pharmaceutical Preparations
AGL,agilon health inc. Common Stock,Consumer Discretionary,Managed Health Care
AGLE,Aeglea BioTherapeutics Inc. Common Stock,Consumer Discretionary,Biotechnology: Pharmaceutical Preparations
AGM,Federal Agricultural Mortgage Corporation Common Stock,Consumer Discretionary,Finance Companies
AGM^C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,Consumer Discretionary,
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,Consumer Discretionary,
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,Consumer Discretionary,
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,Consumer Discretionary,
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,Consumer Discretionary,
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,Consumer Discretionary,EDP Services
AGNC,AGNC Investment Corp. Common Stock,Consumer Discretionary,Real Estate Investment Trusts
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,Consumer Discretionary,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Consumer Discretionary,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,Consumer Discretionary,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,Consumer Discretionary,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,Consumer Discretionary,Real Estate Investment Trusts
AGO,Assured Guaranty Ltd. Common Stock,Consumer Discretionary,Property-Casualty Insurers
AGR,Avangrid Inc. Common Stock,Consumer Discretionary,Electric Utilities: Central
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares,Consumer Discretionary,
AGRIW,AgriFORCE  Growing Systems Ltd. Warrant,Consumer Discretionary,Metal Fabrications
AGRO,Adecoagro S.A. Common Shares,Consumer Discretionary,Farming/Seeds/Milling
AGRX,Agile Therapeutics Inc. Common Stock,Consumer Discretionary,Biotechnology: Pharmaceutical Preparations
AGS,PlayAGS Inc. Common Stock,Consumer Discretionary,Miscellaneous manufacturing industries
AGTI,Agiliti Inc. Common Stock,Consumer Discretionary,Managed Health Care
AGX,Argan Inc. Common Stock,Consumer Discretionary,Engineering & Construction
AGYS,Agilysys Inc. Common Stock (DE),Consumer Discretionary,EDP Services
AHCO,AdaptHealth Corp. Common Stock,Consumer Discretionary,Medical/Nursing Services
AHG,Akso Health Group ADS,Consumer Discretionary,Business Services
AHH,Armada Hoffler Properties Inc. Common Stock,Consumer Discretionary,Real Estate
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,Consumer Discretionary,
AHI,Advanced Health Intelligence Ltd. American Depositary Shares,Consumer Discretionary,Package Goods/Cosmetics
AHL^C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,Consumer Discretionary,
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,Consumer Discretionary,
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,Consumer Discretionary,
AHT,Ashford Hospitality Trust Inc Common Stock,Consumer Discretionary,Real Estate Investment Trusts
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,Consumer Discretionary,
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,Consumer Discretionary,
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,Consumer Discretionary,
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,Consumer Discretionary,
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,Consumer Discretionary,
AI,C3.ai Inc. Class A Common Stock,Consumer Discretionary,Computer Software: Prepackaged Software
AIB,AIB Acquisition Corporation Class A Ordinary Shares,Consumer Discretionary,Blank Checks
AIBBR,AIB Acquisition Corporation Right,Consumer Discretionary,Blank Checks
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,Consumer Discretionary,Real Estate Investment Trusts
AIF,Apollo Tactical Income Fund Inc. Common Stock,Consumer Discretionary,Finance Companies
AIG,American International Group Inc. New Common Stock,Consumer Discretionary,Life Insurance
AIG^A,American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock,Consumer Discretionary,
AIH,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,Consumer Discretionary,Medical Specialities
AIHS,Senmiao Technology Limited Common Stock,Consumer Discretionary,Finance: Consumer Services
AIM,AIM ImmunoTech Inc. Common Stock,Consumer Discretionary,Biotechnology: Biological Products (No Diagnostic Substances)
AIMAU,Aimfinity Investment Corp. I Unit,Consumer Discretionary,Blank Checks
AIMBU,Aimfinity Investment Corp. I Subunit,Consumer Discretionary,Blank Checks
AIMD,Ainos Inc. Common Stock,Consumer Discretionary,Biotechnology: Pharmaceutical Preparations
AIMDW,Ainos Inc. Warrants,Consumer Discretionary,Biotechnology: Pharmaceutical Preparations
AIN,Albany International Corporation Common Stock,Consumer Discretionary,Textiles
AINC,Ashford Inc. (Holding Company) Common Stock,Consumer Discretionary,Professional Services
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,Consumer Discretionary,Finance/Investors Services
AIP,Arteris Inc. Common Stock,Consumer Discretionary,Semiconductors
AIR,AAR Corp. Common Stock,Consumer Discretionary,Aerospace
AIRC,Apartment Income REIT Corp. Common Stock,Consumer Discretionary,Real Estate Investment Trusts
AIRG,Airgain Inc. Common Stock,Consumer Discretionary,Radio And Television Broadcasting And Communications Equipment
AIRI,Air Industries Group Common Stock,Consumer Discretionary,Military/Government/Technical
AIRS,AirSculpt Technologies Inc. Common Stock,Consumer Discretionary,Medical/Nursing Services
AIRT,Air T Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,Consumer Discretionary,Air Freight/Delivery Services
AIT,Applied Industrial Technologies Inc. Common Stock,Consumer Discretionary,Industrial Machinery/Components
AIU,Meta Data Limited ADS,Consumer Discretionary,Educational Services
AIV,Apartment Investment and Management Company Common Stock,Consumer Discretionary,Real Estate Investment Trusts
AIXI,XIAO-I Corporation American Depositary Shares,Consumer Discretionary,Computer Software: Prepackaged Software
AIZ,Assurant Inc. Common Stock,Consumer Discretionary,Property-Casualty Insurers
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,Consumer Discretionary,Property-Casualty Insurers
AJG,Arthur J. Gallagher & Co. Common Stock,Consumer Discretionary,Specialty Insurers
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,Consumer Discretionary,Military/Government/Technical
AJX,Great Ajax Corp. Common Stock,Consumer Discretionary,Real Estate Investment Trusts
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,Consumer Discretionary,Real Estate Investment Trusts
AKA,a.k.a. Brands Holding Corp. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution
AKAM,Akamai Technologies Inc. Common Stock,Consumer Discretionary,Business Services
